Date,Open,,,,,
17-Sep-15,229.08,,,,,
16-Sep-15,230.25,,,,,
15-Sep-15,230.49,,,,,
14-Sep-15,230.61,,,,,
13-Sep-15,235.24,,,,,
12-Sep-15,239.85,,,,,
11-Sep-15,238.33,,,,,
10-Sep-15,238.34,,,,,
9-Sep-15,243.41,,,,,
8-Sep-15,239.85,,,,,
7-Sep-15,239.93,,,,,
6-Sep-15,234.87,,,,,
5-Sep-15,230.2,,,,,
4-Sep-15,227.22,,,,,
3-Sep-15,229.32,,,,,
2-Sep-15,228.03,,,,,
1-Sep-15,230.26,,,,,
31-Aug-15,229.11,,,,,
30-Aug-15,229.9,,,,,
29-Aug-15,231.55,,,,,
28-Aug-15,224.7,,,,,
27-Aug-15,226.05,,,,,
26-Aug-15,222.08,,,,,
25-Aug-15,210.07,,,,,
24-Aug-15,228.11,,,,,
23-Aug-15,230.38,,,,,
22-Aug-15,232.66,,,,,
21-Aug-15,235.35,,,,,
20-Aug-15,226.9,,,,,
19-Aug-15,225.67,,,,,
18-Aug-15,257.93,,,,,
17-Aug-15,258.49,,,,,
16-Aug-15,261.87,,,,,
15-Aug-15,265.53,,,,,
14-Aug-15,264.13,,,,,
13-Aug-15,266.18,,,,,
12-Aug-15,270.6,,,,,
11-Aug-15,264.34,,,,,
10-Aug-15,265.48,,,,,
9-Aug-15,261.12,,,,,
8-Aug-15,279.74,,,,,
7-Aug-15,278.74,,,,,
6-Aug-15,281.91,,,,,
5-Aug-15,284.85,,,,,
4-Aug-15,281.23,,,,,
3-Aug-15,282.81,,,,,
2-Aug-15,280.45,,,,,
1-Aug-15,284.69,,,,,
31-Jul-15,287.7,,,,,
30-Jul-15,289.1,,,,,
29-Jul-15,294.48,,,,,
28-Jul-15,293.63,,,,,
27-Jul-15,292.64,,,,,
26-Jul-15,288.64,,,,,
25-Jul-15,288.16,,,,,
24-Jul-15,276,,,,,
23-Jul-15,277.34,,,,,
22-Jul-15,275.66,,,,,
21-Jul-15,278.88,,,,,
20-Jul-15,273.5,,,,,
19-Jul-15,274.77,,,,,
18-Jul-15,279.33,,,,,
17-Jul-15,278.09,,,,,
16-Jul-15,286.04,,,,,
15-Jul-15,288.05,,,,,
14-Jul-15,292.03,,,,,
13-Jul-15,310.83,,,,,
12-Jul-15,293.14,,,,,
11-Jul-15,284.88,,,,,
10-Jul-15,269.16,,,,,
